,dates,long_ma_type,short_ma_type,long_window,long_to_short_ratio,rsi_bounds,z_score_centre,total_return_percent,volatility,max_drawdown,return_per_unit_risk
219,"['2022-04-01', '2022-06-30']",ema,ema,60,2,"[30, 70]",0.75,3.122409448863084,11.399363870161915,-19.432369751701376,0.27391085015156497
220,"['2022-04-01', '2022-06-30']",ema,ema,60,2,"[40, 60]",1.0,4.546203506498481,11.237043448546444,-17.249235053982325,0.4045729223452055
221,"['2022-04-01', '2022-06-30']",ema,ema,60,2,"[40, 60]",0.75,4.4127753369346046,11.169288861069573,-16.412167234387013,0.39508113648267096
222,"['2022-04-01', '2022-06-30']",ema,ema,60,3,"[20, 80]",1.0,4.8801492627723375,11.79614006252384,-20.289920742546453,0.4137073006005158
223,"['2022-04-01', '2022-06-30']",ema,ema,60,3,"[20, 80]",0.75,4.303420113219092,11.420797913847881,-18.873723885924736,0.3768055564665174
224,"['2022-04-01', '2022-06-30']",ema,ema,60,3,"[30, 70]",1.0,5.075992162595377,11.518307092491911,-19.64809499987815,0.44068908059450074
225,"['2022-04-01', '2022-06-30']",ema,ema,60,3,"[30, 70]",0.75,5.213992616442442,11.28010936383983,-17.958820005044057,0.4622289064994988
226,"['2022-04-01', '2022-06-30']",ema,ema,60,3,"[40, 60]",1.0,5.17217111941024,11.468266918466533,-17.42815898161233,0.4509984949061363
227,"['2022-04-01', '2022-06-30']",ema,ema,60,3,"[40, 60]",0.75,6.1316432236266705,11.467704014055451,-15.877641002951428,0.5346879563783117
228,"['2022-04-01', '2022-06-30']",ema,ema,60,4,"[20, 80]",1.0,4.624292538165675,11.889107583793363,-20.39812345613422,0.3889520307200584
229,"['2022-04-01', '2022-06-30']",ema,ema,60,4,"[20, 80]",0.75,3.4801789143667827,11.420224830604427,-19.179176676996153,0.3047382136506143
230,"['2022-04-01', '2022-06-30']",ema,ema,60,4,"[30, 70]",1.0,3.9198412414677586,11.673672837572937,-20.400911068394013,0.335784743671361
231,"['2022-04-01', '2022-06-30']",ema,ema,60,4,"[30, 70]",0.75,3.5913914579569495,11.396548543228203,-18.731771290706252,0.3151297468996387
232,"['2022-04-01', '2022-06-30']",ema,ema,60,4,"[40, 60]",1.0,8.001321228618853,11.733247573711903,-18.687139880856954,0.6819357708385567
233,"['2022-04-01', '2022-06-30']",ema,ema,60,4,"[40, 60]",0.75,8.772470679488187,11.600145862275799,-16.972207223182252,0.7562379631808476
234,"['2022-04-01', '2022-06-30']",ema,ema,72,2,"[20, 80]",1.0,2.076045027541684,11.724750884520354,-20.9957448783686,0.17706517161764096
235,"['2022-04-01', '2022-06-30']",ema,ema,72,2,"[20, 80]",0.75,0.23037244356136632,11.628857513580146,-20.899841567265796,0.019810410721116677
236,"['2022-04-01', '2022-06-30']",ema,ema,72,2,"[30, 70]",1.0,1.1862443582361104,11.62785306186043,-21.339823185131305,0.10201748783075128
237,"['2022-04-01', '2022-06-30']",ema,ema,72,2,"[30, 70]",0.75,0.28872170663096774,11.563954079158986,-20.871207972105903,0.024967386125418243
238,"['2022-04-01', '2022-06-30']",ema,ema,72,2,"[40, 60]",1.0,2.358414851007695,11.078525973129965,-18.702553263282415,0.21288164659520883
239,"['2022-04-01', '2022-06-30']",ema,ema,72,2,"[40, 60]",0.75,3.6323309770251333,11.177942956503902,-17.63881997937681,0.3249552257655472
240,"['2022-04-01', '2022-06-30']",ema,ema,72,3,"[20, 80]",1.0,2.823842747213723,11.696366335270728,-20.585631951604846,0.24142906149393972
241,"['2022-04-01', '2022-06-30']",ema,ema,72,3,"[20, 80]",0.75,1.8127505212401696,11.583626826955706,-20.018960325674648,0.15649248273621905
242,"['2022-04-01', '2022-06-30']",ema,ema,72,3,"[30, 70]",1.0,2.671002191929084,11.509540012925065,-20.640365576281955,0.23206854391483786
243,"['2022-04-01', '2022-06-30']",ema,ema,72,3,"[30, 70]",0.75,2.7536032735436367,11.47681346706944,-19.553120242269486,0.23992750962142792
244,"['2022-04-01', '2022-06-30']",ema,ema,72,3,"[40, 60]",1.0,5.060750470159214,11.276858737360545,-18.40225424518909,0.4487730659773903
245,"['2022-04-01', '2022-06-30']",ema,ema,72,3,"[40, 60]",0.75,5.586117130840673,11.316124199371105,-17.2470538591337,0.4936422605852207
246,"['2022-04-01', '2022-06-30']",ema,ema,72,4,"[20, 80]",1.0,3.957941553623434,11.678310285248061,-20.20990264096495,0.338913888820292
247,"['2022-04-01', '2022-06-30']",ema,ema,72,4,"[20, 80]",0.75,4.830612683348212,11.499414742215828,-18.18469176362707,0.4200746552443589
248,"['2022-04-01', '2022-06-30']",ema,ema,72,4,"[30, 70]",1.0,3.590559963564477,11.586256619249518,-20.452145838456424,0.30989819072357555
